sheet,row,sku,issue,current,suggested
PRICE_ABRIL_CLEAN,52,ABR-0051,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,52,ABR-0051,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,53,ABR-0052,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,53,ABR-0052,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,54,ABR-0053,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,54,ABR-0053,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,55,ABR-0054,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,55,ABR-0054,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,56,ABR-0055,Normalize category,Догляд  NATUREPLEX  захист та відновлення,Догляд NATUREPLEX захист та відновлення
PRICE_ABRIL_CLEAN,56,ABR-0055,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,57,ABR-0056,Normalize category,Догляд  ENERGIC д/пошкодж.волосся,Догляд ENERGIC д/пошкодж.волосся
PRICE_ABRIL_CLEAN,57,ABR-0056,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,58,ABR-0057,Normalize category,Догляд  ENERGIC д/пошкодж.волосся,Догляд ENERGIC д/пошкодж.волосся
PRICE_ABRIL_CLEAN,58,ABR-0057,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,59,ABR-0058,Normalize category,Догляд  ENERGIC д/пошкодж.волосся,Догляд ENERGIC д/пошкодж.волосся
PRICE_ABRIL_CLEAN,59,ABR-0058,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,60,ABR-0059,Normalize category,Догляд  ENERGIC д/пошкодж.волосся,Догляд ENERGIC д/пошкодж.волосся
PRICE_ABRIL_CLEAN,60,ABR-0059,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,61,ABR-0060,Normalize category,Догляд  ENERGIC д/пошкодж.волосся,Догляд ENERGIC д/пошкодж.волосся
PRICE_ABRIL_CLEAN,61,ABR-0060,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,62,ABR-0061,Normalize category,Догляд  PLATINUM BLOND,Догляд PLATINUM BLOND
PRICE_ABRIL_CLEAN,62,ABR-0061,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,63,ABR-0062,Normalize category,Догляд  PLATINUM BLOND,Догляд PLATINUM BLOND
PRICE_ABRIL_CLEAN,63,ABR-0062,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,64,ABR-0063,Normalize category,Догляд  PLATINUM BLOND,Догляд PLATINUM BLOND
PRICE_ABRIL_CLEAN,64,ABR-0063,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,65,ABR-0064,Normalize category,Догляд  PLATINUM BLOND,Догляд PLATINUM BLOND
PRICE_ABRIL_CLEAN,65,ABR-0064,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,66,ABR-0065,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,66,ABR-0065,Extract volume from name,,5 ml
PRICE_ABRIL_CLEAN,67,ABR-0066,Normalize product name,ABRIL Ампули проти випадіння волосся 5 мл  (50 шт./уп.)  УПАКОВКА!!!!,ABRIL Ампули проти випадіння волосся 5 мл (50 шт./уп.) УПАКОВКА!!!!
PRICE_ABRIL_CLEAN,67,ABR-0066,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,67,ABR-0066,Extract volume from name,,5 ml
PRICE_ABRIL_CLEAN,68,ABR-0067,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,68,ABR-0067,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,69,ABR-0068,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,69,ABR-0068,Extract volume from name,,100 ml
PRICE_ABRIL_CLEAN,70,ABR-0069,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,70,ABR-0069,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,71,ABR-0070,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,71,ABR-0070,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,72,ABR-0071,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,72,ABR-0071,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,73,ABR-0072,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,73,ABR-0072,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,74,ABR-0073,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,74,ABR-0073,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,75,ABR-0074,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,75,ABR-0074,Extract volume from name,,1000 ml
PRICE_ABRIL_CLEAN,76,ABR-0075,Normalize category,Лікувальна серія  FEPEAN,Лікувальна серія FEPEAN
PRICE_ABRIL_CLEAN,76,ABR-0075,Extract volume from name,,250 ml
PRICE_ABRIL_CLEAN,77,ABR-0076,Normalize category,Укладання  DEFINITION LINE,Укладання DEFINITION LINE
PRICE_ABRIL_CLEAN,77,ABR-0076,Extract volume from name,,200 ml
PRICE_ABRIL_CLEAN,78,ABR-0077,Normalize category,Укладання  DEFINITION LINE,Укладання DEFINITION LINE
PRICE_ABRIL_CLEAN,78,ABR-0077,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,2,COI-0001,Missing or technical category,,
PRICE_COIFFANCE_CLEAN,2,COI-0001,Extract volume from name,,100 ml
PRICE_COIFFANCE_CLEAN,3,COI-0002,Missing or technical category,,
PRICE_COIFFANCE_CLEAN,3,COI-0002,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,4,COI-0003,Extract volume from name,,300 g
PRICE_COIFFANCE_CLEAN,5,COI-0004,Extract volume from name,,500 g
PRICE_COIFFANCE_CLEAN,6,COI-0005,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,7,COI-0006,Extract volume from name,,100 ml
PRICE_COIFFANCE_CLEAN,8,COI-0007,Normalize product name,CF Coiffance  Видалення фарби зі шкіри голови STAIN REMOVER 200 мл,CF Coiffance Видалення фарби зі шкіри голови STAIN REMOVER 200 мл
PRICE_COIFFANCE_CLEAN,8,COI-0007,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,9,COI-0008,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,10,COI-0009,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,11,COI-0010,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,12,COI-0011,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,13,COI-0012,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,14,COI-0013,Extract volume from name,,100 ml
PRICE_COIFFANCE_CLEAN,15,COI-0014,Extract volume from name,,50 ml
PRICE_COIFFANCE_CLEAN,16,COI-0015,Extract volume from name,,150 ml
PRICE_COIFFANCE_CLEAN,17,COI-0016,Extract volume from name,,200 ml
PRICE_COIFFANCE_CLEAN,18,COI-0017,Extract volume from name,,1000 ml
PRICE_COIFFANCE_CLEAN,19,COI-0018,Extract volume from name,,250 ml
PRICE_COIFFANCE_CLEAN,20,COI-0019,Extract volume from name,,1000 ml
