sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ABR-0036,Abril,ABRIL Маска CELL INNOVE MASK 1000 мл,Серія CELL INNOVE для сухого волосся,1000 ml,Spain,1800,3599,3240,no,PRICE_ABRIL_CLEAN,37
ABR-0037,Abril,ABRIL Маска CELL INNOVE MASK 200 мл,Серія CELL INNOVE для сухого волосся,200 ml,Spain,650,1300,1170,no,PRICE_ABRIL_CLEAN,38
ABR-0038,Abril,ABRIL Сироватка CELL INNOVE 100 мл,Серія CELL INNOVE для сухого волосся,100 ml,Spain,650,1300,1170,no,PRICE_ABRIL_CLEAN,39
ABR-0039,Abril,ABRIL Шампунь CELL INNOVE SHAMPOO 1000 мл,Серія CELL INNOVE для сухого волосся,1000 ml,Spain,1440,2880,2592,no,PRICE_ABRIL_CLEAN,40
ABR-0040,Abril,ABRIL Шампунь CELL INNOVE SHAMPOO 250 мл,Серія CELL INNOVE для сухого волосся,250 ml,Spain,580,1160,1044,no,PRICE_ABRIL_CLEAN,41
ABR-0041,Abril,ABRIL Маска KERATIN 1000 мл,Серія KERATIN д/пошкодженного волосся,1000 ml,Spain,1590,3180,2862,yes,PRICE_ABRIL_CLEAN,42
ABR-0042,Abril,ABRIL Маска KERATIN 200 мл,Серія KERATIN д/пошкодженного волосся,200 ml,Spain,575,1150,1035,yes,PRICE_ABRIL_CLEAN,43
ABR-0043,Abril,ABRIL Сироватка KERATIN 100 мл,Серія KERATIN д/пошкодженного волосся,100 ml,Spain,620,1240,1116,yes,PRICE_ABRIL_CLEAN,44
ABR-0044,Abril,ABRIL Шампунь KERATIN 1000 мл,Серія KERATIN д/пошкодженного волосся,1000 ml,Spain,1440,2880,2592,yes,PRICE_ABRIL_CLEAN,45
ABR-0045,Abril,ABRIL Шампунь KERATIN 250 мл,Серія KERATIN д/пошкодженного волосся,250 ml,Spain,555,1110,999,yes,PRICE_ABRIL_CLEAN,46
ABR-0046,Abril,ABRIL Маска REHYDRATION 1000 мл,Догляд REHYDRATION зволоження волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,47
ABR-0047,Abril,ABRIL Маска REHYDRATION 200 мл,Догляд REHYDRATION зволоження волосся,200 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,48
ABR-0048,Abril,ABRIL Шампунь REHYDRATION 1000 мл,Догляд REHYDRATION зволоження волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,49
ABR-0049,Abril,ABRIL Шампунь REHYDRATION 250 мл,Догляд REHYDRATION зволоження волосся,250 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,50
ABR-0050,Abril,ABRIL Маска NATURPLEX 1000 мл,Догляд NATUREPLEX захист та відновлення,1000 ml,Spain,2475,4950,4455,yes,PRICE_ABRIL_CLEAN,51
ABR-0051,Abril,ABRIL Маска NATURPLEX 200 мл,Догляд NATUREPLEX захист та відновлення,200 ml,Spain,685,1370,1233,yes,PRICE_ABRIL_CLEAN,52
ABR-0052,Abril,ABRIL Мус NATURPLEX 100 мл,Догляд NATUREPLEX захист та відновлення,100 ml,Spain,1175,2350,2115,yes,PRICE_ABRIL_CLEAN,53
ABR-0053,Abril,ABRIL Сироватка FINAL TOUCH 100 мл,Догляд NATUREPLEX захист та відновлення,100 ml,Spain,715,1430,1287,yes,PRICE_ABRIL_CLEAN,54
ABR-0054,Abril,ABRIL Шампунь NATURPLEX 1000 мл,Догляд NATUREPLEX захист та відновлення,1000 ml,Spain,1620,3240,2916,yes,PRICE_ABRIL_CLEAN,55
ABR-0055,Abril,ABRIL Шампунь NATURPLEX 250 мл,Догляд NATUREPLEX захист та відновлення,250 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,56
ABR-0056,Abril,ABRIL Маска ENERGIC 1000 мл,Догляд ENERGIC д/пошкодж.волосся,1000 ml,Spain,1450,2900,2610,yes,PRICE_ABRIL_CLEAN,57
ABR-0057,Abril,ABRIL Маска ENERGIC 200 мл,Догляд ENERGIC д/пошкодж.волосся,200 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,58
ABR-0058,Abril,ABRIL Сироватка SPLENDOR ESSENCE 100 мл,Догляд ENERGIC д/пошкодж.волосся,100 ml,Spain,665,1329,1197,yes,PRICE_ABRIL_CLEAN,59
ABR-0059,Abril,ABRIL Шампунь ENERGIC 250 мл,Догляд ENERGIC д/пошкодж.волосся,250 ml,Spain,565,1130,1017,yes,PRICE_ABRIL_CLEAN,60
ABR-0060,Abril,ABRIL Шампунь ENERGIC 1000 мл,Догляд ENERGIC д/пошкодж.волосся,1000 ml,Spain,1450,2900,2610,no,PRICE_ABRIL_CLEAN,61
ABR-0061,Abril,ABRIL Маска PLATINUM TONER 1000 мл,Догляд PLATINUM BLOND,1000 ml,Spain,1390,2780,2502,no,PRICE_ABRIL_CLEAN,62
ABR-0062,Abril,ABRIL Маска PLATINUM TONER 200 мл,Догляд PLATINUM BLOND,200 ml,Spain,520,1040,936,yes,PRICE_ABRIL_CLEAN,63
ABR-0063,Abril,ABRIL Шампунь PLATINUM 250 мл,Догляд PLATINUM BLOND,250 ml,Spain,520,1040,936,yes,PRICE_ABRIL_CLEAN,64
ABR-0064,Abril,ABRIL Шампунь PLATINUM 1000 мл,Догляд PLATINUM BLOND,1000 ml,Spain,1390,2780,2502,no,PRICE_ABRIL_CLEAN,65
ABR-0065,Abril,ABRIL Ампула проти випадіння волосся 5 мл--1 ШТУКА !!!,Лікувальна серія FEPEAN,5 ml,Spain,100,200,180,yes,PRICE_ABRIL_CLEAN,66
ABR-0066,Abril,ABRIL Ампули проти випадіння волосся 5 мл (50 шт./уп.) УПАКОВКА!!!!,Лікувальна серія FEPEAN,5 ml,Spain,4800,9600,8640,yes,PRICE_ABRIL_CLEAN,67
ABR-0067,Abril,ABRIL Лосьйон проти випадіння PLUS 100 мл,Лікувальна серія FEPEAN,100 ml,Spain,1170,2340,2106,yes,PRICE_ABRIL_CLEAN,68
ABR-0068,Abril,ABRIL Лосьйон проти випадіння VITAMIN 100 мл,Лікувальна серія FEPEAN,100 ml,Spain,820,1640,1476,no,PRICE_ABRIL_CLEAN,69
ABR-0069,Abril,ABRIL Масло-пілінг OIL EXFOLIANT 200 мл,Лікувальна серія FEPEAN,200 ml,Spain,790,1580,1422,no,PRICE_ABRIL_CLEAN,70
ABR-0070,Abril,ABRIL Шампунь проти випадіння ANTI- HAIR LOSS 1000 мл,Лікувальна серія FEPEAN,1000 ml,Spain,1620,3240,2916,no,PRICE_ABRIL_CLEAN,71
ABR-0071,Abril,ABRIL Шампунь проти випадіння ANTI- HAIR LOSS 250 мл,Лікувальна серія FEPEAN,250 ml,Spain,610,1220,1098,yes,PRICE_ABRIL_CLEAN,72
ABR-0072,Abril,ABRIL Шампунь проти лупи ANTI-DANDRUFF 1000 мл,Лікувальна серія FEPEAN,1000 ml,Spain,1620,3240,2916,no,PRICE_ABRIL_CLEAN,73
ABR-0073,Abril,ABRIL Шампунь проти лупи ANTI-DANDRUFF 250 мл,Лікувальна серія FEPEAN,250 ml,Spain,610,1220,1098,yes,PRICE_ABRIL_CLEAN,74
ABR-0074,Abril,ABRIL Шампунь проти жирного волосся GREASY HAIR 1000 мл,Лікувальна серія FEPEAN,1000 ml,Spain,1620,3240,2916,no,PRICE_ABRIL_CLEAN,75
ABR-0075,Abril,ABRIL Шампунь проти жирного волосся GREASY HAIR 250 мл,Лікувальна серія FEPEAN,250 ml,Spain,610,1220,1098,no,PRICE_ABRIL_CLEAN,76
ABR-0076,Abril,ABRIL Крем для укладання DINAMIC CREAM 200 мл,Укладання DEFINITION LINE,200 ml,Spain,690,1380,1242,yes,PRICE_ABRIL_CLEAN,77
ABR-0077,Abril,ABRIL Спрей FAST BLOW DRYING 200 мл,Укладання DEFINITION LINE,200 ml,Spain,750,1500,1350,yes,PRICE_ABRIL_CLEAN,78
COI-0001,Coiffance,COIFFANCE Стійка крем-фарба COLOR PAPILLON 100 мл,,100 ml,France,307,460,460,no,PRICE_COIFFANCE_CLEAN,2
COI-0002,Coiffance,COIFFANCE Окисники 1000мл,,1000 ml,France,354,531,531,no,PRICE_COIFFANCE_CLEAN,3
COI-0003,Coiffance,CF Coiffance BLONDSHADES Крем осв.GRAY BLEACHING CREAM 300 гр,"Засоби для знебарвлення волосся, окисники",300 g,France,793,1190,1190,no,PRICE_COIFFANCE_CLEAN,4
COI-0004,Coiffance,CF Coiffance BLONDSHADES Пудра 9 р. BLUE BLEACHING POWDER500 гр,"Засоби для знебарвлення волосся, окисники",500 g,France,1395,2093,2093,no,PRICE_COIFFANCE_CLEAN,5
COI-0005,Coiffance,CF Coiffance BLONDSHADES Шампунь POST DECO SHAMPOO 1000 мл,"Засоби для знебарвлення волосся, окисники",1000 ml,France,793,1190,1190,no,PRICE_COIFFANCE_CLEAN,6
COI-0006,Coiffance,CF Coiffance гель для захисту контуру волосся SKIN PROTECTIVE 100 мл,Технічні продукти,100 ml,France,718,1077,1077,no,PRICE_COIFFANCE_CLEAN,7
COI-0007,Coiffance,CF Coiffance Видалення фарби зі шкіри голови STAIN REMOVER 200 мл,Технічні продукти,200 ml,France,428,642,642,no,PRICE_COIFFANCE_CLEAN,8
COI-0008,Coiffance,CF Coiffance Захисний флюїд для шкіри голови COLOR REPRIEVE 200 мл,Технічні продукти,200 ml,France,487,731,731,no,PRICE_COIFFANCE_CLEAN,9
COI-0009,Coiffance,CF Coiffance Шампунь POST COLOR 1000 мл,Технічні продукти,1000 ml,France,770,1155,1155,no,PRICE_COIFFANCE_CLEAN,10
COI-0010,Coiffance,CF Coiffance Шампунь проти лупи ANTI-DANDRUFF 250 мл,SPECIFIC Лікувальні шампуні,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,11
COI-0011,Coiffance,CF Coiffance Шампунь-пілінг PEELING 1000 мл,SPECIFIC Лікувальні шампуні,1000 ml,France,1253,1880,1880,no,PRICE_COIFFANCE_CLEAN,12
COI-0012,Coiffance,CF Coiffance Шампунь-пілінг PEELING 250 мл,SPECIFIC Лікувальні шампуні,250 ml,France,514,771,771,no,PRICE_COIFFANCE_CLEAN,13
COI-0013,Coiffance,CF 572 Coiffance Крем CREAM BEAUTE 100 мл,"Еліксир, сироватка",100 ml,France,600,900,900,no,PRICE_COIFFANCE_CLEAN,14
