sku,brand,name,category,volume,country,purchase_price,retail_price,my_retail,selected,source_sheet,source_row
ABR-0066,Abril,ABRIL Ампули проти випадіння волосся 5 мл (50 шт./уп.) УПАКОВКА!!!!,Лікувальна серія FEPEAN,5 ml,Spain,4800,9600,8640,yes,PRICE_ABRIL_CLEAN,67
ABR-0067,Abril,ABRIL Лосьйон проти випадіння PLUS 100 мл,Лікувальна серія FEPEAN,100 ml,Spain,1170,2340,2106,yes,PRICE_ABRIL_CLEAN,68
ABR-0071,Abril,ABRIL Шампунь проти випадіння ANTI- HAIR LOSS 250 мл,Лікувальна серія FEPEAN,250 ml,Spain,610,1220,1098,yes,PRICE_ABRIL_CLEAN,72
ABR-0073,Abril,ABRIL Шампунь проти лупи ANTI-DANDRUFF 250 мл,Лікувальна серія FEPEAN,250 ml,Spain,610,1220,1098,yes,PRICE_ABRIL_CLEAN,74
ABR-0076,Abril,ABRIL Крем для укладання DINAMIC CREAM 200 мл,Укладання DEFINITION LINE,200 ml,Spain,690,1380,1242,yes,PRICE_ABRIL_CLEAN,77
ABR-0077,Abril,ABRIL Спрей FAST BLOW DRYING 200 мл,Укладання DEFINITION LINE,200 ml,Spain,750,1500,1350,yes,PRICE_ABRIL_CLEAN,78
ERA-0030,Erayba,Erayba Маска лікувальна Ayurvedic Mask 1000мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR AYURVEDIC Лікувальна,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,31
ERA-0031,Erayba,Erayba Маска лікувальна Ayurvedic Mask 250мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR AYURVEDIC Лікувальна,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,32
ERA-0032,Erayba,Erayba Шампунь лікувальний Ayurvedic Shampoo 1000мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR AYURVEDIC Лікувальна,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,33
ERA-0033,Erayba,Erayba Шампунь лікувальний Ayurvedic Shampoo 250мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR AYURVEDIC Лікувальна,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,34
ERA-0034,Erayba,Erayba Кондиціонер Color Care Conditioner leave-in 200мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR COLOR Для фарбованого волосся,200 ml,Spain,522,922,922,yes,PRICE_ERAYBA_CLEAN,35
ERA-0035,Erayba,Erayba Маска для фарбованного волосся Color Care Mask 1000мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR COLOR Для фарбованого волосся,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,36
ERA-0036,Erayba,Erayba Маска для фарбованного волосся Color Care Mask 250мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR COLOR Для фарбованого волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,37
ERA-0037,Erayba,Erayba Шампунь для фарбованого волосся Color Care Shampoo 1000мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR COLOR Для фарбованого волосся,1000 ml,Spain,1408,2570,2534,yes,PRICE_ERAYBA_CLEAN,38
ERA-0038,Erayba,Erayba Шампунь для фарбованного волосся Color Care Shampoo 250мл,Догляд за волоссям ALWAYS BEAUTIFUL HAIR COLOR Для фарбованого волосся,250 ml,Spain,556,1072,1001,yes,PRICE_ERAYBA_CLEAN,39
ERA-0039,Erayba,Erayba Бальзам для курчавого волосся Curls 150мл,CURLY Для кучерявого волосся,150 ml,Spain,625,1072,1072,yes,PRICE_ERAYBA_CLEAN,40
ERA-0040,Erayba,Erayba Маска д/курчавого волосся Curls 1000мл,CURLY Для кучерявого волосся,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,41
ERA-0041,Erayba,Erayba Маска для курчавого волосся Curls 250мл,CURLY Для кучерявого волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,42
ERA-0042,Erayba,Erayba Шампунь для курчавого волосся Curls 1000мл,CURLY Для кучерявого волосся,1000 ml,Spain,1410,2570,2538,yes,PRICE_ERAYBA_CLEAN,43
ERA-0043,Erayba,Erayba Шампунь для курчавого волосся Curls 250мл,CURLY Для кучерявого волосся,250 ml,Spain,590,1072,1062,yes,PRICE_ERAYBA_CLEAN,44
ERA-0044,Erayba,Erayba Кондиціонер Detox Refresh Conditioner leave-in 200мл,DETOX Для всіх типіві волосся,200 ml,Spain,525,922,922,yes,PRICE_ERAYBA_CLEAN,45
ERA-0045,Erayba,Erayba Маска для всіх типів волосся Detox Refresh Mask 1000мл,DETOX Для всіх типіві волосся,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,46
ERA-0046,Erayba,Erayba Маска для всіх типів волосся Detox Refresh Mask 250мл,DETOX Для всіх типіві волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,47
ERA-0047,Erayba,Erayba Шампунь очищаючий Detox Refresh Shampoo 1000мл,DETOX Для всіх типіві волосся,1000 ml,Spain,1410,2570,2538,yes,PRICE_ERAYBA_CLEAN,48
ERA-0048,Erayba,Erayba Шампунь очищаючий Detox Refresh Shampoo 250мл,DETOX Для всіх типіві волосся,250 ml,Spain,590,1072,1062,yes,PRICE_ERAYBA_CLEAN,49
ERA-0049,Erayba,Erayba Двофазовий кондиціонер Repair 200мл,REPAIR Для пошкодженого волосся,200 ml,Spain,565,1008,1008,yes,PRICE_ERAYBA_CLEAN,50
ERA-0050,Erayba,Erayba Маска для пошкодженого волосся Repair Mask 1000 мл,REPAIR Для пошкодженого волосся,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,51
ERA-0051,Erayba,Erayba Маска для пошкодженого волосся Repair 250мл,REPAIR Для пошкодженого волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,52
ERA-0052,Erayba,Erayba Сироватка Repair Ends Sealer 100мл,REPAIR Для пошкодженого волосся,100 ml,Spain,815,1458,1458,yes,PRICE_ERAYBA_CLEAN,53
ERA-0053,Erayba,Erayba Сироватка Repair treatment 100мл,REPAIR Для пошкодженого волосся,100 ml,Spain,915,1584,1584,yes,PRICE_ERAYBA_CLEAN,54
ERA-0054,Erayba,Erayba Шампунь для пошкодженого волосся Repair Shampoo 1000 мл,REPAIR Для пошкодженого волосся,1000 ml,Spain,1410,2570,2538,yes,PRICE_ERAYBA_CLEAN,55
ERA-0055,Erayba,Erayba Шампунь для пошкодженого волосся Repair 250мл,REPAIR Для пошкодженого волосся,250 ml,Spain,590,1072,1062,yes,PRICE_ERAYBA_CLEAN,56
ERA-0057,Erayba,Erayba Маска антижовта Silver No-Yellow Mask 250мл,SILVER Для освітленого волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,58
ERA-0061,Erayba,Erayba Маска для об'єму Volume 1000мл,VOLUME Для тонкого волосся,1000 ml,Spain,1485,2570,2570,yes,PRICE_ERAYBA_CLEAN,62
ERA-0062,Erayba,Erayba Маска для об'єму Volume 250мл,VOLUME Для тонкого волосся,250 ml,Spain,605,1072,1072,yes,PRICE_ERAYBA_CLEAN,63
ERA-0066,Erayba,Erayba K10 Keratin Маска 10в1! 1000 мл,Ботокс лікування волосся HYDRAKER,1000 ml,Spain,1185,1895,1895,yes,PRICE_ERAYBA_CLEAN,67
ERA-0067,Erayba,Erayba K10 Keratin Маска 10в1! 150 мл,Ботокс лікування волосся HYDRAKER,150 ml,Spain,400,640,640,yes,PRICE_ERAYBA_CLEAN,68
ERA-0070,Erayba,Erayba K12 Keratin Шампунь 250 мл,Ботокс лікування волосся HYDRAKER,250 ml,Spain,555,888,888,yes,PRICE_ERAYBA_CLEAN,71
ERA-0071,Erayba,Erayba K12 Keratin Шампунь 1000 мл,Ботокс лікування волосся HYDRAKER,1000 ml,Spain,1360,2176,2176,yes,PRICE_ERAYBA_CLEAN,72
